file,category,bpm,key,duration_sec,release_score,mix_score,master_score,arrangement_score,peak_db,rms_db,dynamic_range_db,clipping,low_end_total,mid_total,top_total,sub,bass_808,mud,low_mids,mids_melody,harsh_zone,highs,air,brightness,drum_activity,onset_density,top_problem
Cheromani - DIE HARD.wav,Cheromani,152.03,F Minor / Try A# Minor,275.13,69,69,69,70,-0.0,-6.16,6.16,True,30.4,42.43,27.17,15.82,14.58,13.88,13.98,14.57,14.24,14.25,12.92,High,High,5.82,Clipping detected: 148192 samples are near/over the limit.
Cheromani - DIE YOUNG.wav,Cheromani,148.03,C# Minor / Try D# Minor,128.87,60,53,53,75,0.0,-5.33,5.33,True,31.43,42.06,26.5,16.1,15.34,13.75,13.89,14.43,13.94,13.55,12.96,High,High,7.83,Clipping detected: 92064 samples are near/over the limit.
Cheromani - DIOR LEOPARD.wav,Cheromani,165.44,D# Minor / Try E Minor,269.46,79,81,81,74,0.0,-7.12,7.12,True,30.63,42.64,26.72,15.89,14.74,14.02,13.94,14.68,14.28,14.07,12.66,High,Medium,1.79,Clipping detected: 70548 samples are near/over the limit.
Cheromani - DIRTY SPRITE.wav,Cheromani,148.03,F Minor / Try C# Minor,223.5,60,53,53,75,0.01,-3.7,3.7,True,30.46,41.73,27.81,15.87,14.6,13.68,13.61,14.43,14.19,14.56,13.24,High,High,7.19,Clipping detected: 881776 samples are near/over the limit.
Cheromani - DOE DEER.wav,Cheromani,168.75,E Minor / Try F Minor,114.3,79,81,81,75,0.0,-6.42,6.42,True,29.77,43.47,26.76,14.58,15.19,14.34,14.15,14.98,14.74,14.12,12.64,High,High,6.05,Clipping detected: 52690 samples are near/over the limit.
Cheromani - DON'T TELL NO1.wav,Cheromani,159.2,E Minor / Try A Minor,121.51,71,69,69,75,0.01,-6.96,6.97,True,29.63,42.52,27.84,15.72,13.91,14.05,13.88,14.59,14.25,14.46,13.39,High,High,5.83,Clipping detected: 193807 samples are near/over the limit.
Cheromani - Draco.wav,Cheromani,152.03,C Minor / Try F Minor,104.19,79,81,81,75,0.0,-7.98,7.98,True,30.57,43.25,26.18,15.73,14.84,14.5,14.61,14.14,13.39,13.35,12.83,Medium,High,4.97,Clipping detected: 5636 samples are near/over the limit.
Cheromani - EARDRUMMER.wav,Cheromani,145.47,A Minor / Try D Minor,198.66,81,81,81,81,0.0,-8.77,8.77,True,30.59,42.63,26.79,15.55,15.03,13.8,13.98,14.85,14.5,14.1,12.69,High,High,6.44,Clipping detected: 11995 samples are near/over the limit.
Cheromani - ENJOY YOUR LIFE.wav,Cheromani,136.09,G Minor / Try D Minor,120.0,79,81,81,75,-0.0,-6.49,6.49,True,31.41,41.43,27.16,16.4,15.02,13.59,13.66,14.17,13.69,13.59,13.57,High,High,7.94,Clipping detected: 16497 samples are near/over the limit.
Cheromani - FREAK NEEK.wav,Cheromani,160.71,C# Minor / Try F# Minor,132.5,60,53,53,75,0.01,-4.33,4.34,True,30.97,42.18,26.84,16.12,14.86,13.8,13.95,14.44,13.91,13.92,12.92,High,High,7.21,Clipping detected: 300290 samples are near/over the limit.
Cheromani - Fangs.wav,Cheromani,152.03,C# Minor / Try F# Minor,128.02,84,86,86,81,0.0,-7.17,7.17,True,30.56,42.66,26.78,15.75,14.81,14.01,14.28,14.38,13.73,14.01,12.77,High,High,7.16,Clipping detected: 5389 samples are near/over the limit.
Cheromani - GET NAKED.wav,Cheromani,160.71,F# Minor / Try C# Minor,107.98,68,65,65,75,0.0,-5.65,5.65,True,31.36,42.19,26.45,16.19,15.16,14.27,13.7,14.22,14.01,13.83,12.62,Medium,High,5.79,Clipping detected: 45862 samples are near/over the limit.
Cheromani - Gah Damn.wav,Cheromani,156.25,B Minor / Try E Minor,123.26,79,81,81,75,0.0,-6.16,6.16,True,30.26,43.45,26.29,15.67,14.59,14.09,14.79,14.57,13.83,13.64,12.65,High,High,6.44,Clipping detected: 15266 samples are near/over the limit.
Cheromani - HELLRAISER (feat. OsamaSon).wav,Cheromani,148.03,G Minor,182.93,60,53,53,75,0.0,-4.74,4.74,True,30.65,42.76,26.59,15.99,14.67,14.36,13.96,14.43,14.07,13.96,12.62,High,High,4.54,Clipping detected: 233908 samples are near/over the limit.
Cheromani - HOLY MOLY.wav,Cheromani,148.03,E Minor / Try A Minor,120.8,73,69,69,81,0.0,-7.18,7.18,True,29.38,43.29,27.33,15.5,13.88,13.81,14.37,15.11,14.66,14.09,13.24,High,High,6.39,Clipping detected: 69315 samples are near/over the limit.
Cheromani - HOOD FAMOUS.wav,Cheromani,156.25,C Minor / Try F Minor,206.54,80,81,81,79,0.0,-6.68,6.68,True,30.3,42.72,26.98,15.53,14.77,13.92,14.1,14.7,14.41,14.11,12.87,High,Medium,1.7,Clipping detected: 69189 samples are near/over the limit.
"Cheromani - Hex On My Chest, It's Goin Down.wav",Cheromani,144.23,C Minor / Try F Minor,153.32,84,86,86,81,0.0,-9.15,9.15,True,30.91,42.61,26.49,15.92,14.98,14.2,13.95,14.46,14.1,13.61,12.87,Medium,High,5.45,Clipping detected: 578 samples are near/over the limit.
Cheromani - IM SORRY.wav,Cheromani,148.03,F Minor / Try C Minor,129.72,79,81,81,75,0.0,-7.37,7.37,True,29.74,43.53,26.73,15.24,14.5,13.74,14.55,15.24,14.69,13.86,12.87,High,High,5.57,Clipping detected: 50893 samples are near/over the limit.
Cheromani - Interlude.wav,Cheromani,140.62,E Minor / Try G Minor,81.13,76,81,81,65,0.0,-6.02,6.02,True,31.03,43.53,25.44,15.83,15.2,14.23,14.55,14.75,14.18,13.54,11.9,Medium,High,3.65,Clipping detected: 9172 samples are near/over the limit.
Cheromani - It's My Party and I'll Die if I Want To.wav,Cheromani,148.03,D Minor / Try G Minor,127.98,83,86,86,75,-0.0,-8.05,8.05,True,30.84,41.71,27.45,15.78,15.06,13.97,13.51,14.23,14.01,14.42,13.03,High,High,5.24,Clipping detected: 2689 samples are near/over the limit.
Cheromani - Japan.wav,Cheromani,140.62,C Minor / Try F Minor,149.21,68,65,65,75,0.0,-5.9,5.9,True,30.95,43.03,26.02,16.62,14.34,13.81,14.64,14.58,13.78,13.5,12.52,Medium,High,5.05,Clipping detected: 20185 samples are near/over the limit.
Cheromani - KING OF ROCK.wav,Cheromani,148.03,A# Minor / Try D Minor,121.63,60,53,53,75,0.0,-4.01,4.01,True,30.03,42.88,27.09,15.76,14.27,14.07,14.18,14.64,14.14,14.0,13.09,High,High,7.84,Clipping detected: 347684 samples are near/over the limit.
Cheromani - KITTENS.wav,Cheromani,144.23,E Minor / Try C# Minor,136.12,84,86,86,79,0.0,-7.37,7.38,True,30.15,42.31,27.54,15.93,14.22,13.82,13.95,14.54,13.97,14.13,13.4,High,Medium,2.97,Clipping detected: 3671 samples are near/over the limit.
Cheromani - LIP FILLER.wav,Cheromani,156.25,F Minor / Try C Minor,122.31,79,81,81,75,0.0,-6.81,6.81,True,30.11,42.93,26.96,14.75,15.35,14.0,14.13,14.8,14.46,14.21,12.75,High,High,6.64,Clipping detected: 48837 samples are near/over the limit.
Cheromani - Love (MKB).wav,Cheromani,140.62,E Minor / Try A Minor,192.4,60,53,53,75,0.0,-5.86,5.86,True,30.64,42.56,26.8,16.25,14.39,14.15,13.62,14.79,14.55,14.01,12.8,High,High,4.56,Clipping detected: 180153 samples are near/over the limit.
Cheromani - MAKE OUT WITH MY CHOPPA.wav,Cheromani,148.03,C Minor / Try F Minor,120.88,60,53,53,75,0.01,-4.13,4.14,True,29.88,42.82,27.3,15.68,14.2,13.97,14.0,14.84,14.4,14.38,12.92,High,High,5.39,Clipping detected: 356406 samples are near/over the limit.
Cheromani - MANNEQUIN (feat. Xaviersobased).wav,Cheromani,145.47,G Minor / Try G# Minor,123.12,79,81,81,75,0.0,-6.58,6.58,True,30.69,42.32,26.99,15.86,14.83,13.55,14.06,14.71,14.3,14.03,12.97,High,High,4.14,Clipping detected: 25595 samples are near/over the limit.
Cheromani - MARCELINE.wav,Cheromani,160.71,F# Minor / Try B Minor,120.77,79,81,81,75,0.0,-7.47,7.47,True,30.58,42.71,26.71,15.81,14.77,14.05,13.85,14.81,14.58,13.96,12.75,High,High,5.96,Clipping detected: 27158 samples are near/over the limit.
Cheromani - MDMA.wav,Cheromani,153.41,A# Minor / Try F Minor,162.09,81,81,81,81,-0.0,-8.28,8.28,True,30.79,42.06,27.16,16.41,14.38,13.57,13.54,14.95,14.64,14.2,12.96,High,High,6.39,Clipping detected: 8432 samples are near/over the limit.
Cheromani - MILLION DOLLAR MANSION.wav,Cheromani,144.23,D# Minor / Try C# Minor,133.61,60,53,53,75,0.0,-4.94,4.95,True,30.87,41.61,27.52,15.69,15.17,13.69,13.56,14.36,13.88,14.06,13.46,High,High,5.21,Clipping detected: 298394 samples are near/over the limit.
Cheromani - MONSTER.wav,Cheromani,152.03,C# Minor / Try F Minor,233.8,60,53,53,75,0.02,-4.26,4.27,True,30.7,42.6,26.7,15.92,14.78,13.93,13.97,14.7,14.18,13.93,12.78,High,High,3.98,Clipping detected: 1004424 samples are near/over the limit.
Cheromani - Miley Cyrus.wav,Cheromani,156.25,D Minor / Try G Minor,139.13,81,81,81,81,-0.0,-11.52,11.52,True,31.19,42.34,26.47,16.12,15.07,14.15,14.05,14.13,13.65,13.76,12.7,High,High,4.63,Clipping detected: 8401 samples are near/over the limit.
Cheromani - My Favorite Color is Red.wav,Cheromani,148.03,C# Minor / Try C Minor,135.64,60,53,53,75,0.0,-5.4,5.4,True,30.37,43.02,26.61,16.26,14.11,14.27,14.23,14.51,14.13,14.05,12.57,Medium,High,4.92,Clipping detected: 84107 samples are near/over the limit.
Cheromani - NEVER TOO YOUNG TO DIE (feat. Chuckyy).wav,Cheromani,156.25,F# Minor / Try C# Minor,195.95,79,81,81,75,0.0,-8.34,8.34,True,29.19,43.66,27.15,14.99,14.19,14.24,14.4,15.02,14.53,14.24,12.91,High,High,3.65,Clipping detected: 37761 samples are near/over the limit.
Cheromani - NUNCA HACER COCAINA.wav,Cheromani,119.68,D# Minor / Try A# Minor,124.01,84,86,86,81,0.0,-11.02,11.02,True,30.04,43.0,26.95,15.04,15.0,14.01,14.19,14.81,14.49,13.99,12.96,High,High,3.68,Clipping detected: 355 samples are near/over the limit.
Cheromani - ON FLEEK.wav,Cheromani,170.45,C Minor / Try D# Minor,113.63,60,53,53,75,0.0,-4.37,4.37,True,30.49,42.82,26.69,15.91,14.58,14.04,14.1,14.69,14.32,14.0,12.69,High,High,3.34,Clipping detected: 187139 samples are near/over the limit.
Cheromani - Ok Den.wav,Cheromani,145.47,F Minor / Try D Minor,131.71,70,65,65,81,0.0,-5.73,5.73,True,30.04,43.82,26.14,16.09,13.95,14.49,14.72,14.61,13.9,13.61,12.53,Medium,High,3.98,Clipping detected: 8926 samples are near/over the limit.
Cheromani - PROMOTING VIOLENCE.wav,Cheromani,144.23,D# Minor / Try G Minor,121.5,60,53,53,75,0.0,-4.96,4.96,True,30.74,42.07,27.19,15.23,15.51,14.13,13.61,14.33,13.97,14.04,13.15,High,High,4.27,Clipping detected: 195507 samples are near/over the limit.
Cheromani - Pissy Coffee.wav,Cheromani,156.25,C# Minor / Try F# Minor,98.43,78,81,81,71,0.0,-8.3,8.3,True,30.9,42.11,26.99,16.05,14.85,13.72,13.84,14.55,14.13,14.01,12.98,High,High,6.64,Clipping detected: 23660 samples are near/over the limit.
Cheromani - Pizza Time .wav,Cheromani,162.26,D Minor / Try D# Minor,122.3,81,81,81,81,0.0,-7.62,7.62,True,31.42,41.94,26.63,16.58,14.85,13.8,13.79,14.35,14.02,13.82,12.81,Medium,High,6.26,Clipping detected: 10753 samples are near/over the limit.
Cheromani - Pretend We're Sleeping.wav,Cheromani,152.03,D Minor / Try B Minor,112.92,79,81,81,75,0.0,-7.63,7.63,True,30.51,42.79,26.71,16.19,14.32,14.03,14.17,14.59,14.09,13.78,12.92,High,High,5.33,Clipping detected: 21527 samples are near/over the limit.
